cod;nombre;;categoria;tipo;stock;costo_unit;valor_inventario;ult_material;ult_produccion;ult_compra;nunca_usado;accion_sugerida
96;BOLSA FLEX UP PEQUE 133 X 210 150-250 GRS ALICO;;T03.03. ENVASES ECOLOGICOS;Materia prima;8;372,3;2978,4;;;;SI;REVISAR — tiene stock
560;BOLSA FLEX UP VENTANA MED CON ETIQUETAS INFUSION 400 GR;;T03.03. ENVASES ECOLOGICOS;Producto en proceso;18;1487,4;26773,2;;;;SI;REVISAR — tiene stock
566;BOLSA METALIZADA VENTANA CON ETIQUETAS ALMENDRA 200 GR;;T03.03. ENVASES ECOLOGICOS;Producto en proceso;5;1487,4;7437;;;;SI;REVISAR — tiene stock
567;BOLSA METALIZADA VENTANA CON ETIQUETAS ALMENDRA DE CACAO 200 GR;;T03.03. ENVASES ECOLOGICOS;Producto en proceso;0;1487,4;0;;;;SI;CANDIDATO ANULAR — nunca usado
562;BOLSA METALIZADA VENTANA CON ETIQUETAS CHOCOLATE BOMBONES 250 GR;;T03.03. ENVASES ECOLOGICOS;Producto en proceso;12;1487,4;17848,8;;;;SI;REVISAR — tiene stock
563;BOLSA METALIZADA VENTANA CON ETIQUETAS CHOCOLATE GRANULADO 250 GR;;T03.03. ENVASES ECOLOGICOS;Producto en proceso;16;1487,4;23798,4;;;;SI;REVISAR — tiene stock
561;BOLSA METALIZADA VENTANA CON ETIQUETAS INFUSION 200 GR;;T03.03. ENVASES ECOLOGICOS;Producto en proceso;0;1487,4;0;;;;SI;CANDIDATO ANULAR — nunca usado
568;BOLSA METALIZADA VENTANA CON ETIQUETAS MACADAMIA 200 GR;;T03.03. ENVASES ECOLOGICOS;Producto en proceso;0;1487,4;0;;;;SI;CANDIDATO ANULAR — nunca usado
569;BOLSA METALIZADA VENTANA CON ETIQUETAS MARAÑON 200 GR;;T03.03. ENVASES ECOLOGICOS;Producto en proceso;4;1487,4;5949,6;;;;SI;REVISAR — tiene stock
570;BOLSA METALIZADA VENTANA CON ETIQUETAS MIX FRUTOS SECOS 200 GR;;T03.03. ENVASES ECOLOGICOS;Producto en proceso;0;1487,4;0;;;;SI;CANDIDATO ANULAR — nunca usado
565;BOLSA METALIZADA VENTANA CON ETIQUETAS NIBS 200 GR;;T03.03. ENVASES ECOLOGICOS;Producto en proceso;15;1487,4;22311;;;;SI;REVISAR — tiene stock
573;BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS ALMENDRA 100 GR;;T03.03. ENVASES ECOLOGICOS;Producto en proceso;12;1487,4;17848,8;;;;SI;REVISAR — tiene stock
576;BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS ALMENDRA DE CACAO 100 GR;;T03.03. ENVASES ECOLOGICOS;Producto en proceso;0;1487,4;0;;;;SI;CANDIDATO ANULAR — nunca usado
572;BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS MACADAMIA 100 GR;;T03.03. ENVASES ECOLOGICOS;Producto en proceso;2;1487,4;2974,8;;;;SI;REVISAR — tiene stock
574;BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS MARAÑON 100 GR;;T03.03. ENVASES ECOLOGICOS;Producto en proceso;8;1487,4;11899,2;;;;SI;REVISAR — tiene stock
571;BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS MIX FRUTOS SECOS 100 GR;;T03.03. ENVASES ECOLOGICOS;Producto en proceso;0;1487,4;0;;;;SI;CANDIDATO ANULAR — nunca usado
575;BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS NIBS 100 GR;;T03.03. ENVASES ECOLOGICOS;Producto en proceso;0;1487,4;0;;;;SI;CANDIDATO ANULAR — nunca usado
142;RECIPACK 2.0 160X240FFA80MM FLEX UP TTE;;T03.03. ENVASES ECOLOGICOS;Materia prima;27;279;7533;;;;SI;REVISAR — tiene stock
141;RECIPACK 2.0-AB 133X210FFA70MM FLEX UP TTE;;T03.03. ENVASES ECOLOGICOS;Materia prima;19;216;4104;;;;SI;REVISAR — tiene stock
542;ETIQUETA MACADAMIA 100G TRASERA X UNIDAD;;T03.21. ETIQUETAS ADESIVAS;Materia prima;55;818;44990;;;;SI;REVISAR — tiene stock
544;ETIQUETA MARAÑON 100G TRASERA X UNIDAD;;T03.21. ETIQUETAS ADESIVAS;Materia prima;45;1000;45000;;;;SI;REVISAR — tiene stock
492;ETIQUETA MIEL OS 265G PLAST.;;T03.21. ETIQUETAS ADESIVAS;Materia prima;0;150;0;;;;SI;CANDIDATO ANULAR — nunca usado
491;ETIQUETA MIEL OS 500G PLAST.;;T03.21. ETIQUETAS ADESIVAS;Materia prima;0;150;0;;;;SI;CANDIDATO ANULAR — nunca usado
541;ETIQUETA MIX FRUTOS SECOS 100G TRASERA X UNIDAD;;T03.21. ETIQUETAS ADESIVAS;Materia prima;134;410;54940;;;;SI;REVISAR — tiene stock
507;ETIQUETA PRECIOS X HOJA;;T03.21. ETIQUETAS ADESIVAS;Materia prima;0;6500;0;;;;SI;CANDIDATO ANULAR — nunca usado
532;Etiqueta tableta tornasol 100p natural x unidad;;T03.21. ETIQUETAS ADESIVAS;Materia prima;0;22,5;0;;;;SI;CANDIDATO ANULAR — nunca usado
