cod;nombre;categoria;tipo;stock;costo_unit;valor_inventario;ult_material;ult_produccion;ult_compra;nunca_usado;accion_sugerida
575;BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS NIBS 100 GR;T03.03. ENVASES ECOLOGICOS;Producto en proceso;0,00;1487,40;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
142;RECIPACK 2.0 160X240FFA80MM FLEX UP TTE;T03.03. ENVASES ECOLOGICOS;Materia prima;27,00;279,00;7533,00;;;;SI;REVISAR — tiene stock
141;RECIPACK 2.0-AB 133X210FFA70MM FLEX UP TTE;T03.03. ENVASES ECOLOGICOS;Materia prima;19,00;216,00;4104,00;;;;SI;REVISAR — tiene stock
542;ETIQUETA MACADAMIA 100G TRASERA X UNIDAD;T03.21. ETIQUETAS ADESIVAS;Materia prima;55,00;818,00;44990,00;;;;SI;REVISAR — tiene stock
544;ETIQUETA MARAÑON 100G TRASERA X UNIDAD;T03.21. ETIQUETAS ADESIVAS;Materia prima;45,00;1000,00;45000,00;;;;SI;REVISAR — tiene stock
492;ETIQUETA MIEL OS 265G PLAST.;T03.21. ETIQUETAS ADESIVAS;Materia prima;0,00;150,00;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
491;ETIQUETA MIEL OS 500G PLAST.;T03.21. ETIQUETAS ADESIVAS;Materia prima;0,00;150,00;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
541;ETIQUETA MIX FRUTOS SECOS 100G TRASERA X UNIDAD;T03.21. ETIQUETAS ADESIVAS;Materia prima;134,00;410,00;54940,00;;;;SI;REVISAR — tiene stock
507;ETIQUETA PRECIOS X HOJA;T03.21. ETIQUETAS ADESIVAS;Materia prima;0,00;6500,00;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
532;Etiqueta tableta tornasol 100p natural x unidad;T03.21. ETIQUETAS ADESIVAS;Materia prima;0,00;22,50;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
